"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",34,3,3,0,13,4.2,9,0
"exp1",34,4,0,NA,13.5,5,8,NA
"exp1",34,4,1,4,13.5,5.8,8,1
"exp1",34,4,2,0,13.5,5.8,8,0
"exp1",34,4,3,0,13.5,5.8,8,0
"exp1",35,1,0,NA,11,2,8,NA
"exp1",35,1,1,2,11,3,8,1
"exp1",35,1,2,4,11,3,8.5,2
"exp1",35,1,3,2,11,3.66,8.5,1
"exp1",35,2,0,NA,12,3,8,NA
"exp1",35,2,1,2,12,3,8.25,2
"exp1",35,2,2,8,12,3,8.25,1
"exp1",35,2,3,4,12,3,8.73,2
"exp1",35,3,0,NA,13,3,9,NA
"exp1",35,3,1,2,13,3.66,9,1
"exp1",35,3,2,4,13,3.66,9.44,2
"exp1",35,3,3,2,13,4.2,9.44,1
"exp1",35,4,0,NA,13.5,5,8,NA
"exp1",35,4,1,2,13.5,5,8.25,2
"exp1",35,4,2,4,13.5,5.8,8.25,1
"exp1",35,4,3,2,13.5,5.8,8.49,2
"exp1",36,1,0,NA,11,2,8,NA
"exp1",36,1,1,2,11,3,8,1
"exp1",36,1,2,2,11,3,8,0
"exp1",36,1,3,6,11,3,8,1
"exp1",36,2,0,NA,12,3,8,NA
"exp1",36,2,1,6,12,3,8.75,2
"exp1",36,2,2,2,12,3,8.97,2
"exp1",36,2,3,8,12,3,8.97,1
"exp1",36,3,0,NA,13,3,9,NA
"exp1",36,3,1,6,13,3,9,1
"exp1",36,3,2,6,13,3,9.66,2
"exp1",36,3,3,4,13,3,9.66,1
"exp1",36,4,0,NA,13.5,5,8,NA
"exp1",36,4,1,2,13.5,5.4,8,1
"exp1",36,4,2,4,13.5,5.4,8.5,2
"exp1",36,4,3,6,13.5,5.4,8.5,1
"exp1",37,1,0,NA,11,2,8,NA
"exp1",37,1,1,2,11,3,8,1
"exp1",37,1,2,0,11,3,8,0
"exp1",37,1,3,0,11,3,8,0
"exp1",37,2,0,NA,12,3,8,NA
"exp1",37,2,1,8,12,3,9,2
"exp1",37,2,2,0,12,3,9,0
"exp1",37,2,3,0,12,3,9,0
"exp1",37,3,0,NA,13,3,9,NA
"exp1",37,3,1,2,13,3.66,9,1
"exp1",37,3,2,2,13,4.2,9,1
"exp1",37,3,3,0,13,4.2,9,0
"exp1",37,4,0,NA,13.5,5,8,NA
"exp1",37,4,1,4,13.5,5.8,8,1
"exp1",37,4,2,0,13.5,5.8,8,0
"exp1",37,4,3,0,13.5,5.8,8,0
"exp1",38,1,0,NA,11,2,8,NA
"exp1",38,1,1,2,11,3,8,1
"exp1",38,1,2,0,11,3,8,0
"exp1",38,1,3,0,11,3,8,0
